City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-06-12 02:48:02,-53.15,-70.9167,42.91,87,75,6.91
1,Busselton,AU,2022-06-12 02:48:03,-33.65,115.3333,63.64,80,69,28.39
2,Cape Town,ZA,2022-06-12 02:48:03,-33.9258,18.4232,63.12,71,0,8.99
3,Taoudenni,ML,2022-06-12 02:48:03,22.6783,-3.9836,96.62,13,89,17.69
4,Albany,US,2022-06-12 02:45:14,42.6001,-73.9662,62.06,78,59,2.71
5,Bengkulu,ID,2022-06-12 02:48:04,-3.8004,102.2655,80.04,74,87,11.32
6,Hithadhoo,MV,2022-06-12 02:48:05,-0.6,73.0833,83.86,72,100,12.06
7,Ushuaia,AR,2022-06-12 02:48:05,-54.8,-68.3,49.66,76,75,8.05
8,Saint George,US,2022-06-12 02:48:06,37.1041,-113.5841,102.79,6,0,12.66
9,Barrow,US,2022-06-12 02:48:06,71.2906,-156.7887,32.02,80,100,12.66
10,Bambous Virieux,MU,2022-06-12 02:48:06,-20.3428,57.7575,68.25,100,75,3.44
11,Otane,NZ,2022-06-12 02:48:07,-39.8833,176.6333,63.01,74,100,5.06
12,Tasiilaq,GL,2022-06-12 02:48:07,65.6145,-37.6368,33.96,74,68,4.16
13,Volgorechensk,RU,2022-06-12 02:48:08,57.4393,41.1555,51.01,76,3,5.75
14,Vaini,TO,2022-06-12 02:48:08,-21.2,-175.2,82.56,78,40,9.22
15,Rikitea,PF,2022-06-12 02:48:09,-23.1203,-134.9692,73.89,69,80,11.81
16,Bogo,PH,2022-06-12 02:48:09,11.0517,124.0055,88.25,62,80,3.65
17,Waitati,NZ,2022-06-12 02:48:09,-45.75,170.5667,51.8,61,100,7.81
18,Guerrero Negro,MX,2022-06-12 02:48:10,27.9769,-114.0611,65.41,86,8,18.52
19,Harper,LR,2022-06-12 02:48:10,4.375,-7.7169,77.45,84,100,6.35
20,Kaduna,NG,2022-06-12 02:48:11,10.5222,7.4383,70.43,88,21,3.51
21,Talnakh,RU,2022-06-12 02:48:11,69.4865,88.3972,69.21,32,100,10.09
22,Fomboni,KM,2022-06-12 02:48:12,-12.28,43.7425,79.86,64,4,17.63
23,Chuy,UY,2022-06-12 02:48:13,-33.6971,-53.4616,42.66,65,32,13.35
24,Manoel Urbano,BR,2022-06-12 02:48:13,-8.8389,-69.2597,64.83,88,90,2.15
25,Dingle,PH,2022-06-12 02:48:14,10.9995,122.6711,87.42,63,31,4.61
26,Avarua,CK,2022-06-12 02:48:14,-21.2078,-159.775,78.85,65,40,16.11
27,Ilulissat,GL,2022-06-12 02:48:15,69.2167,-51.1,35.62,87,100,5.75
28,Codrington,AU,2022-06-12 02:48:15,-38.2667,141.9667,54.75,70,100,13.67
29,Bredasdorp,ZA,2022-06-12 02:48:16,-34.5322,20.0403,58.37,33,96,3.91
30,Dimona,IL,2022-06-12 02:48:16,31.0667,35.0333,71.1,62,0,13.94
31,Puerto Ayora,EC,2022-06-12 02:48:17,-0.7393,-90.3518,70.56,95,95,1.01
32,Georgetown,MY,2022-06-12 02:44:55,5.4112,100.3354,84.13,87,20,5.75
33,Tessalit,ML,2022-06-12 02:48:17,20.1986,1.0114,86.38,34,100,7.45
34,Bud,US,2022-06-12 02:48:18,39.447,-86.1758,69.98,94,100,4.54
35,Paamiut,GL,2022-06-12 02:48:18,61.994,-49.6678,40.64,89,100,11.3
36,Mataura,NZ,2022-06-12 02:48:18,-46.1927,168.8643,46.47,93,99,2.98
37,Neiafu,TO,2022-06-12 02:48:19,-18.65,-173.9833,81.28,78,75,9.22
38,Butaritari,KI,2022-06-12 02:48:19,3.0707,172.7902,82.29,74,23,11.3
39,Batagay-Alyta,RU,2022-06-12 02:48:20,67.8006,130.4114,63.37,30,88,10.63
40,Arraial Do Cabo,BR,2022-06-12 02:48:20,-22.9661,-42.0278,65.98,85,100,8.34
41,Sao Filipe,CV,2022-06-12 02:48:20,14.8961,-24.4956,73.42,84,34,4.68
42,Jamestown,US,2022-06-12 02:48:21,42.097,-79.2353,60.39,93,100,5.68
43,Ribeira Grande,PT,2022-06-12 02:48:21,38.5167,-28.7,62.22,83,26,16.93
44,Severo-Kurilsk,RU,2022-06-12 02:48:22,50.6789,156.125,47.16,82,83,8.9
45,Tuktoyaktuk,CA,2022-06-12 02:49:22,69.4541,-133.0374,35.6,93,100,14.97
46,Airai,TL,2022-06-12 02:49:22,-8.9266,125.4092,70.03,57,32,3.89
47,Cabo San Lucas,MX,2022-06-12 02:49:23,22.8909,-109.9124,86.61,71,0,15.12
48,Kloulklubed,PW,2022-06-12 02:49:23,7.0419,134.2556,82.9,73,41,10.71
49,Mar Del Plata,AR,2022-06-12 02:49:24,-38.0023,-57.5575,43.09,93,0,3.44
50,Sorland,NO,2022-06-12 02:49:24,67.667,12.6934,49.86,95,100,7.49
